Printout for SDDS file one.cen

       s              Cx             Cy      
       m              m              m       
---------------------------------------------
  0.000000e+00  -5.312591e-21   9.974660e-22 
  0.000000e+00  -5.312591e-21   9.974660e-22 
  0.000000e+00  -5.312591e-21   9.974660e-22 
  0.000000e+00  -5.312591e-21   9.974660e-22 
  0.000000e+00  -5.312591e-21   9.974660e-22 
  2.500000e-01  -5.724587e-21   1.561251e-21 
  2.500000e-01  -5.724587e-21   1.561251e-21 
  2.500000e-01  -5.724587e-21   1.561251e-21 
  2.500000e-01  -5.724587e-21   1.561251e-21 
  2.500000e-01  -5.724587e-21   1.561251e-21 
  5.000000e-01  -5.551115e-21   2.038300e-21 
  8.500000e-01   9.730243e-07   9.636935e-10 
  1.700000e+00   5.641859e-06   9.464233e-10 
  2.875000e+00   1.209584e-05   9.225498e-10 
  3.025000e+00   1.126372e-05   9.846666e-10 
  3.225000e+00   7.973966e-06   1.157414e-09 
  3.225000e+00   3.766537e-06  -3.021021e-06 
  3.675000e+00  -4.384761e-07  -3.506781e-06 
  3.675000e+00  -4.384761e-07  -3.506781e-06 
  4.075000e+00  -4.176266e-06  -3.938568e-06 
  4.225000e+00  -5.765588e-06  -3.623800e-06 
  4.225000e+00  -5.765588e-06  -3.623800e-06 
  4.225000e+00  -5.765588e-06  -3.623800e-06 
  4.225000e+00  -5.765588e-06  -3.623800e-06 
  4.575000e+00  -1.006670e-05  -1.807000e-06 
  4.725000e+00  -1.116223e-05  -1.207543e-06 
  5.600000e+00  -1.292066e-05   1.375887e-06 
  6.475000e+00  -1.467908e-05   3.959316e-06 
  6.475000e+00  -1.467908e-05   3.959316e-06 
  6.475000e+00  -1.467908e-05   3.959316e-06 
  6.475000e+00  -1.467908e-05   3.959316e-06 
  6.625000e+00  -1.299932e-05   4.876749e-06 
  6.975000e+00  -4.585585e-06   8.205359e-06 
  7.125000e+00  -1.753168e-06   8.595432e-06 
  7.525000e+00   4.019065e-06   6.829281e-06 
  7.975000e+00   1.051283e-05   4.842361e-06 
  7.975000e+00   2.394817e-06   6.076651e-06 
  8.175000e+00   3.961193e-06   5.013258e-06 
  8.175000e+00   3.961193e-06   5.013258e-06 
  8.175000e+00   3.961193e-06   5.013258e-06 
  8.175000e+00   3.961193e-06   5.013258e-06 
  8.325000e+00   5.240266e-06   4.555969e-06 
  9.500000e+00   1.584427e-05   3.554879e-06 
  1.035000e+01   2.351526e-05   2.830687e-06 
  1.070000e+01   2.733561e-05   2.283869e-06 
  1.172500e+01   3.328314e-05   7.167704e-07 
  1.172500e+01   3.328314e-05   7.167704e-07 
  1.172500e+01   3.328314e-05   7.167704e-07 
  1.172500e+01   3.328314e-05   7.167704e-07 
  1.187500e+01   3.270645e-05   5.157800e-07 
  1.212500e+01   2.934744e-05   2.232047e-07 
  1.227500e+01   2.798979e-05   4.368889e-08 
  1.332500e+01   2.301818e-05  -1.231177e-06 
  1.347500e+01   2.218904e-05  -1.419980e-06 
