Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  0.000000e+00   1.001926e-05   9.929740e-06 
  0.000000e+00   1.001926e-05   9.929740e-06 
  0.000000e+00   1.001926e-05   9.929740e-06 
  0.000000e+00   1.001926e-05   9.929740e-06 
  0.000000e+00   1.001926e-05   9.929740e-06 
  2.500000e-01   1.001926e-05   9.929740e-06 
  2.500000e-01   1.001926e-05   9.929740e-06 
  2.500000e-01   1.001926e-05   9.929740e-06 
  2.500000e-01   1.001933e-05   9.929740e-06 
  2.500000e-01   1.001933e-05   9.929748e-06 
  5.000000e-01   1.001933e-05   9.929748e-06 
  8.500000e-01   3.493839e-04   9.967886e-06 
  1.700000e+00   3.493839e-04   9.967886e-06 
  2.875000e+00   3.493839e-04   9.967886e-06 
  3.025000e+00   3.496338e-04   9.947416e-06 
  3.225000e+00   3.496338e-04   9.947416e-06 
  3.225000e+00   2.639454e-04   9.963742e-06 
  3.675000e+00   2.639454e-04   9.963742e-06 
  3.675000e+00   2.639454e-04   9.963742e-06 
  4.075000e+00   2.639454e-04   9.963742e-06 
  4.225000e+00   2.639097e-04   1.003845e-05 
  4.225000e+00   2.639097e-04   1.003845e-05 
  4.225000e+00   2.639136e-04   1.003845e-05 
  4.225000e+00   2.639136e-04   1.003845e-05 
  4.575000e+00   2.639136e-04   1.003845e-05 
  4.725000e+00   2.640099e-04   1.002398e-05 
  5.600000e+00   2.640099e-04   1.002398e-05 
  6.475000e+00   2.640099e-04   1.002398e-05 
  6.475000e+00   2.640099e-04   1.002398e-05 
  6.475000e+00   2.639929e-04   1.002398e-05 
  6.475000e+00   2.639929e-04   1.002415e-05 
  6.625000e+00   2.640119e-04   9.948978e-06 
  6.975000e+00   2.640119e-04   9.948978e-06 
  7.125000e+00   2.639744e-04   1.087522e-05 
  7.525000e+00   2.639744e-04   1.087522e-05 
  7.975000e+00   2.639744e-04   1.087522e-05 
  7.975000e+00   2.377340e-04   1.086604e-05 
  8.175000e+00   2.377340e-04   1.086604e-05 
  8.175000e+00   2.377340e-04   1.086604e-05 
  8.175000e+00   2.377216e-04   1.086604e-05 
  8.175000e+00   2.377216e-04   1.086613e-05 
  8.325000e+00   2.377943e-04   1.071505e-05 
  9.500000e+00   2.377943e-04   1.071505e-05 
  1.035000e+01   2.377943e-04   1.071505e-05 
  1.070000e+01   9.690919e-06   1.072710e-05 
  1.172500e+01   9.690919e-06   1.072710e-05 
  1.172500e+01   9.690919e-06   1.072710e-05 
  1.172500e+01   9.691382e-06   1.072710e-05 
  1.172500e+01   9.691382e-06   1.072706e-05 
  1.187500e+01   9.869211e-06   1.072925e-05 
  1.212500e+01   9.869211e-06   1.072925e-05 
  1.227500e+01   9.795802e-06   1.073059e-05 
  1.332500e+01   9.795802e-06   1.073059e-05 
  1.347500e+01   9.804541e-06   1.072599e-05 
  1.382500e+01   9.804541e-06   1.072599e-05 
  1.397500e+01   9.769682e-06   1.077260e-05 
