Printout for SDDS file one.twi

       s            betax          alphax          etax          etaxp     
       m              m                             m                      
---------------------------------------------------------------------------
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  5.000000e-01   3.827983e+01   7.103474e-01   0.000000e+00   0.000000e+00 
  8.500000e-01   3.437334e+01   6.961486e-01  -5.290158e-02  -3.144315e-01 
  1.700000e+00   3.322109e+01   6.594362e-01  -3.201684e-01  -3.144315e-01 
  2.875000e+00   3.173105e+01   6.086866e-01  -6.896255e-01  -3.144315e-01 
  3.025000e+00   2.724734e+01   2.784639e+01  -6.870273e-01   3.486600e-01 
  3.225000e+00   1.724859e+01   2.214733e+01  -6.172953e-01   3.486600e-01 
  3.225000e+00   1.724859e+01   2.214733e+01  -6.172953e-01   3.486600e-01 
  3.675000e+00   3.086299e+00   9.324434e+00  -4.603983e-01   3.486600e-01 
  3.675000e+00   3.086299e+00   9.324434e+00  -4.603983e-01   3.486600e-01 
  4.075000e+00   1.860028e-01  -2.073695e+00  -3.209343e-01   3.486600e-01 
  4.225000e+00   1.659447e+00  -8.538556e+00  -3.065913e-01  -1.535321e-01 
  4.225000e+00   1.659447e+00  -8.538556e+00  -3.065913e-01  -1.535321e-01 
  4.225000e+00   1.659447e+00  -8.538556e+00  -3.065913e-01  -1.535321e-01 
  4.225000e+00   1.659447e+00  -8.538556e+00  -3.065913e-01  -1.535321e-01 
  4.575000e+00   1.309223e+01  -2.412653e+01  -3.603275e-01  -1.535321e-01 
  4.725000e+00   1.744038e+01  -2.622619e+00  -3.421673e-01   3.910479e-01 
  5.600000e+00   2.237581e+01  -3.017872e+00  -3.677111e-07   3.910479e-01 
  6.475000e+00   2.800293e+01  -3.413125e+00   3.421666e-01   3.910479e-01 
  6.475000e+00   2.800293e+01  -3.413125e+00   3.421666e-01   3.910479e-01 
  6.475000e+00   2.800293e+01  -3.413125e+00   3.421666e-01   3.910479e-01 
  6.475000e+00   2.800293e+01  -3.413125e+00   3.421666e-01   3.910479e-01 
  6.625000e+00   2.297059e+01   3.437134e+01   3.603269e-01  -1.535310e-01 
  6.975000e+00   5.216218e+00   1.635542e+01   3.065910e-01  -1.535310e-01 
