Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  5.000000e-01   3.827983e+01   7.103474e-01   0.000000e+00   0.000000e+00 
  8.500000e-01   3.819190e+01   9.851335e+00   0.000000e+00   0.000000e+00 
  1.700000e+00   2.329948e+01   7.669158e+00   0.000000e+00   0.000000e+00 
  2.875000e+00   8.821390e+00   4.652619e+00   0.000000e+00   0.000000e+00 
  3.025000e+00   8.670057e+00  -3.596167e+00   0.000000e+00   0.000000e+00 
  3.225000e+00   1.017280e+01  -3.917559e+00   0.000000e+00   0.000000e+00 
  3.225000e+00   1.017280e+01  -3.917559e+00   0.000000e+00   0.000000e+00 
  3.675000e+00   1.402401e+01  -4.640690e+00   0.000000e+00   0.000000e+00 
  3.675000e+00   1.402401e+01  -4.640690e+00   0.000000e+00   0.000000e+00 
  4.075000e+00   1.799368e+01  -5.283473e+00   0.000000e+00   0.000000e+00 
  4.225000e+00   1.530613e+01   2.171298e+01   0.000000e+00   0.000000e+00 
  4.225000e+00   1.530613e+01   2.171298e+01   0.000000e+00   0.000000e+00 
  4.225000e+00   1.530613e+01   2.171298e+01   0.000000e+00   0.000000e+00 
  4.225000e+00   1.530613e+01   2.171298e+01   0.000000e+00   0.000000e+00 
  4.575000e+00   3.888249e+00   1.090955e+01   0.000000e+00   0.000000e+00 
  4.725000e+00   1.799916e+00   4.055573e+00   0.000000e+00   0.000000e+00 
  5.600000e+00   2.124327e+00  -4.426328e+00   0.000000e+00   0.000000e+00 
  6.475000e+00   1.729207e+01  -1.290823e+01   0.000000e+00   0.000000e+00 
  6.475000e+00   1.729207e+01  -1.290823e+01   0.000000e+00   0.000000e+00 
  6.475000e+00   1.729207e+01  -1.290823e+01   0.000000e+00   0.000000e+00 
  6.475000e+00   1.729207e+01  -1.290823e+01   0.000000e+00   0.000000e+00 
  6.625000e+00   2.627012e+01  -5.142909e+01   0.000000e+00   0.000000e+00 
  6.975000e+00   7.460879e+01  -8.668141e+01   0.000000e+00   0.000000e+00 
  7.125000e+00   8.182490e+01   4.256791e+01   0.000000e+00   0.000000e+00 
