Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00  -1.791523e-05 
  5.000000e-01   3.827983e+01   7.103474e-01  -4.478807e-06  -1.791523e-05 
  8.500000e-01   3.819426e+01   9.852334e+00  -1.077248e-05  -9.521530e-06 
  1.700000e+00   2.330040e+01   7.669854e+00  -1.886578e-05  -9.521530e-06 
  2.875000e+00   8.821168e+00   4.652896e+00  -3.005357e-05  -9.521530e-06 
  3.025000e+00   8.669719e+00  -3.595635e+00  -3.088494e-05  -1.618071e-06 
  3.225000e+00   1.017224e+01  -3.916951e+00  -3.120855e-05  -1.618071e-06 
  3.225000e+00   1.017224e+01  -3.916951e+00  -3.120855e-05  -1.618071e-06 
  3.675000e+00   1.402282e+01  -4.639911e+00  -3.193669e-05  -1.618071e-06 
  3.675000e+00   1.402282e+01  -4.639911e+00  -3.193669e-05  -1.618071e-06 
  4.075000e+00   1.799181e+01  -5.282543e+00  -3.258392e-05  -1.618071e-06 
  4.225000e+00   1.530444e+01   2.171095e+01  -1.784382e-05   1.901291e-04 
  4.225000e+00   1.530444e+01   2.171095e+01  -1.784382e-05   1.901291e-04 
  4.225000e+00   1.530444e+01   2.171095e+01  -1.784382e-05   1.901291e-04 
  4.225000e+00   1.530444e+01   2.171095e+01  -1.784382e-05  -1.983849e-05 
  4.575000e+00   3.887686e+00   1.090834e+01  -2.478729e-05  -1.983849e-05 
  4.725000e+00   1.799580e+00   4.055163e+00  -2.648738e-05  -3.772101e-06 
  5.600000e+00   2.124681e+00  -4.426707e+00  -2.978797e-05  -3.772101e-06 
  6.475000e+00   1.729305e+01  -1.290858e+01  -3.308856e-05  -3.772101e-06 
  6.475000e+00   1.729305e+01  -1.290858e+01  -3.308856e-05  -3.772101e-06 
  6.475000e+00   1.729305e+01  -1.290858e+01  -3.308856e-05  -3.772101e-06 
  6.475000e+00   1.729305e+01  -1.290858e+01  -3.308856e-05  -8.300842e-05 
  6.625000e+00   2.627147e+01  -5.143134e+01  -4.607168e-05  -9.491386e-05 
  6.975000e+00   7.461217e+01  -8.668495e+01  -7.929153e-05  -9.491386e-05 
