Printout for SDDS file one.twi

       s            betax          alphax          etax          etaxp     
       m              m                             m                      
---------------------------------------------------------------------------
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  0.000000e+00   3.900000e+01   7.300000e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00   0.000000e+00 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00  -8.691785e-05 
  2.500000e-01   3.863746e+01   7.201737e-01   0.000000e+00  -8.691785e-05 
  5.000000e-01   3.827983e+01   7.103474e-01  -2.172946e-05  -8.691785e-05 
  8.500000e-01   3.437137e+01   6.961487e-01  -5.294870e-02  -3.145317e-01 
  1.700000e+00   3.321913e+01   6.594342e-01  -3.203006e-01  -3.145317e-01 
  2.875000e+00   3.172909e+01   6.086817e-01  -6.898753e-01  -3.145317e-01 
  3.025000e+00   2.724565e+01   2.784470e+01  -6.872551e-01   3.490509e-01 
  3.225000e+00   1.724751e+01   2.214597e+01  -6.174449e-01   3.490509e-01 
  3.225000e+00   1.724751e+01   2.214597e+01  -6.174449e-01   3.490509e-01 
  3.675000e+00   3.086095e+00   9.323842e+00  -4.603720e-01   3.490509e-01 
  3.675000e+00   3.086095e+00   9.323842e+00  -4.603720e-01   3.490509e-01 
  4.075000e+00   1.860014e-01  -2.073609e+00  -3.207516e-01   3.490509e-01 
  4.225000e+00   1.659374e+00  -8.538124e+00  -3.063395e-01  -1.529797e-01 
  4.225000e+00   1.659374e+00  -8.538124e+00  -3.063395e-01  -1.529797e-01 
  4.225000e+00   1.659374e+00  -8.538124e+00  -3.063395e-01  -1.526993e-01 
  4.225000e+00   1.659374e+00  -8.538124e+00  -3.063395e-01  -1.526993e-01 
  4.575000e+00   1.309155e+01  -2.412524e+01  -3.597843e-01  -1.526993e-01 
  4.725000e+00   1.743946e+01  -2.622432e+00  -3.415840e-01   3.907340e-01 
  5.600000e+00   2.237454e+01  -3.017656e+00   3.082717e-04   3.907340e-01 
  6.475000e+00   2.800126e+01  -3.412881e+00   3.422005e-01   3.907340e-01 
  6.475000e+00   2.800126e+01  -3.412881e+00   3.422005e-01   3.907340e-01 
  6.475000e+00   2.800126e+01  -3.412881e+00   3.422005e-01   3.908691e-01 
  6.475000e+00   2.800126e+01  -3.412881e+00   3.422005e-01   3.908691e-01 
  6.625000e+00   2.296920e+01   3.436931e+01   3.603266e-01  -1.538038e-01 
  6.975000e+00   5.215891e+00   1.635443e+01   3.064953e-01  -1.538038e-01 
